POSTCODE,POSTCODE_2,LOCAL_AUT_ORG,NHS_ENG_REGION,SUB_ICB,CANCER_REGISTRY,EASTING_1M,NORTHING_1M,LSOA_2011,MSOA_2011,CANCER_ALLIANCE,ICB,OA_2021,LSOA_2021,MSOA_2021,IMD_RANK,IMD_DECILE
EC1A 4AS,EC1A 4AS,714,Y56,,Y0801,532090,0181436,E01000001,E02000001,E56000028,QMF,E00000007,E01000001,E02000001,29199,9
EC1Y 4AG,EC1Y 4AG,714,Y56,,Y0801,532601,0181925,E01000002,E02000001,E56000028,QMF,E00000019,E01000002,E02000001,30379,10
EC1M 7AA,EC1M 7AA,714,Y56,,Y0801,532094,0182111,E01000003,E02000001,E56000028,QMF,E00000010,E01000003,E02000001,14915,5
E1   7AA,E1 7AA,714,Y56,,Y0801,533623,0181382,E01000005,E02000001,E56000028,QMF,E00000029,E01000005,E02000001,8678,3
IG11 9SU,IG11 9SU,716,Y56,,Y0801,544804,0184253,E01000006,E02000017,E56000028,QMF,E00000053,E01000006,E02000017,14486,5
IG11 8BQ,IG11 8BQ,716,Y56,,Y0801,544080,0184295,E01000007,E02000016,E56000028,QMF,E00000040,E01000007,E02000016,7256,3
IG11 8AD,IG11 8AD,716,Y56,,Y0801,543490,0184359,E01000008,E02000016,E56000028,QMF,E00000056,E01000008,E02000016,5010,2
IG11 8EA,IG11 8EA,716,Y56,,Y0801,544461,0184318,E01000009,E02000017,E56000028,QMF,E00000054,E01000009,E02000017,6736,3
IG11 7AR,IG11 7AR,716,Y56,,Y0801,544161,0183766,E01000010,E02000016,E56000028,QMF,E00185746,E01034474,E02000016,6900,3
IG11 8QG,IG11 8QG,716,Y56,,Y0801,544279,0184652,E01000011,E02000017,E56000028,QMF,E00000068,E01000011,E02000017,7698,3
IG11 8FL,IG11 8FL,716,Y56,,Y0801,543989,0184728,E01000012,E02000016,E56000028,QMF,E00185694,E01000012,E02000016,5990,2
RM10 8DP,RM10 8DP,716,Y56,,Y0801,549128,0184858,E01000013,E02000014,E56000028,QMF,E00000093,E01000013,E02000014,4573,2
RM10 8NJ,RM10 8NJ,716,Y56,,Y0801,549057,0185086,E01000014,E02000014,E56000028,QMF,E00000087,E01000014,E02000014,5650,2
RM10 8DE,RM10 8DE,716,Y56,,Y0801,549597,0185359,E01000015,E02000010,E56000028,QMF,E00000080,E01000015,E02000010,6405,2
RM10 7AN,RM10 7AN,716,Y56,,Y0801,549368,0185792,E01000016,E02000010,E56000028,QMF,E00000100,E01000016,E02000010,6739,3
RM10 7ST,RM10 7ST,716,Y56,,Y0801,549072,0185764,E01000017,E02000010,E56000028,QMF,E00000073,E01000017,E02000010,4570,2
RM10 8BN,RM10 8BN,716,Y56,,Y0801,549293,0185473,E01000018,E02000010,E56000028,QMF,E00000079,E01000018,E02000010,6504,2
RM8  2BA,RM8 2BA,716,Y56,,Y0801,547180,0186243,E01000019,E02006799,E56000028,QMF,E00000115,E01000019,E02006799,6410,2
RM8  2JS,RM8 2JS,716,Y56,,Y0801,547340,0186655,E01000020,E02006799,E56000028,QMF,E00000110,E01000020,E02006799,5520,2
IG11 8PD,IG11 8PD,716,Y56,,Y0801,547072,0186238,E01000021,E02000009,E56000028,QMF,E00000117,E01000021,E02000009,4611,2
RM8  2AU,RM8 2AU,716,Y56,,Y0801,546913,0185952,E01000022,E02000009,E56000028,QMF,E00000122,E01000022,E02000009,6098,2
IG11 9BY,IG11 9BY,716,Y56,,Y0801,546201,0185645,E01000023,E02000009,E56000028,QMF,E00185673,E01034472,E02000009,5243,2
RM8  2AA,RM8 2AA,716,Y56,,Y0801,547255,0185702,E01000024,E02000009,E56000028,QMF,E00000128,E01000024,E02000009,8333,3
RM8  2AH,RM8 2AH,716,Y56,,Y0801,546999,0185703,E01000025,E02000009,E56000028,QMF,E00000129,E01000025,E02000009,5303,2
RM5  2BG,RM5 2BG,716,Y56,,Y0801,548633,0190448,E01000027,E02000002,E56000028,QMF,E00000156,E01000027,E02000002,5097,2
